EC_Class,RF_Precision,RF_Recall,RF_F1,SVM_Precision,SVM_Recall,SVM_F1,Support
EC 1,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,6
EC 2,0.8888888888888888,1.0,0.9411764705882353,0.8888888888888888,1.0,0.9411764705882353,8
EC 3,0.9166666666666666,1.0,0.9565217391304348,0.9166666666666666,1.0,0.9565217391304348,11
EC 4,1.0,0.875,0.9333333333333333,1.0,0.875,0.9333333333333333,8
